R,F,M,C,L,prediction
22.0,31.0,33279.0,1.4478852,2244.0,1
16.0,29.0,43790.0,1.099567,2701.0,1
12.0,40.0,47184.0,1.0201038,2967.0,1
28.0,21.0,33276.0,1.4359511,715.0,3
12.0,62.0,40078.0,1.1908534,2813.0,2
48.0,18.0,37864.0,1.2584159,2158.0,1
108.0,8.0,45604.0,1.0426936,2172.0,1
11.0,32.0,40288.0,1.1800611,440.0,4
89.0,18.0,34882.0,1.3581569,1134.0,3
34.0,21.0,33750.0,1.4029422,2677.0,1
33.0,29.0,41254.0,1.1457199,2488.0,1
6.0,42.0,35834.0,1.3182849,2125.0,1
15.0,28.0,37176.0,1.2704275,2623.0,1
30.0,30.0,37647.0,1.2530375,1879.0,1
50.0,13.0,32263.0,1.4619837,2847.0,1
4.0,19.0,35101.0,1.3435534,1964.0,1
27.0,19.0,32673.0,1.4431087,2274.0,1
34.0,25.0,32385.0,1.4557322,1590.0,3
95.0,29.0,35573.0,1.3243608,1173.0,3
4.0,28.0,36690.0,1.2801172,689.0,4
22.0,33.0,37629.0,1.2466358,2350.0,1
86.0,21.0,33295.0,1.408176,1046.0,3
5.0,13.0,35230.0,1.3276923,929.0,3
388.0,15.0,31155.0,1.5,1147.0,3
10.0,29.0,42118.0,1.1086265,3416.0,1
7.0,29.0,44033.0,1.0593041,1346.0,4
19.0,35.0,32642.0,1.4281687,948.0,3
18.0,23.0,34088.0,1.3664882,2597.0,1
413.0,24.0,31187.0,1.4903165,1970.0,3
40.0,25.0,41212.0,1.1266187,1340.0,4
11.0,31.0,36941.0,1.2553282,2653.0,1
436.0,6.0,45460.0,1.019714,2342.0,0
155.0,18.0,44574.0,1.0395634,1602.0,4
18.0,26.0,40418.0,1.1435046,487.0,4
21.0,36.0,44376.0,1.0406051,2134.0,1
267.0,41.0,46010.0,1.0032569,2055.0,1
18.0,28.0,32162.0,1.4341487,2754.0,1
3.0,34.0,41043.0,1.1236793,2299.0,1
112.0,19.0,32487.0,1.4193739,2368.0,1
185.0,29.0,34744.0,1.3240801,1076.0,3
207.0,5.0,38637.0,1.1896666,615.0,4
4.0,24.0,42252.0,1.0867758,2836.0,1
256.0,26.0,32160.0,1.4206424,2055.0,3
22.0,20.0,31505.0,1.4478787,718.0,3
115.0,26.0,35705.0,1.271262,3040.0,1
65.0,21.0,37239.0,1.2186351,1229.0,4
7.0,48.0,31296.0,1.4483637,1825.0,2
13.0,25.0,35297.0,1.2841009,508.0,4
13.0,6.0,35829.0,1.2632124,2575.0,1
21.0,43.0,36077.0,1.2540206,691.0,4
231.0,18.0,31477.0,1.436935,2475.0,1
17.0,29.0,45040.0,1.0041476,2777.0,1
31.0,18.0,33315.0,1.357442,3037.0,1
110.0,17.0,31251.0,1.4470397,3042.0,1
6.0,40.0,43825.0,1.0312867,3141.0,1
16.0,23.0,31579.0,1.4292574,1077.0,3
18.0,22.0,32276.0,1.3978297,2733.0,1
7.0,22.0,41207.0,1.0945398,959.0,4
40.0,24.0,36753.0,1.2250568,3090.0,1
405.0,8.0,41128.0,1.0929488,2528.0,1
221.0,16.0,32159.0,1.3964641,1494.0,3
156.0,8.0,44587.0,1.0069734,1688.0,4
4.0,33.0,33356.0,1.3440319,1173.0,3
106.0,25.0,37047.0,1.2083572,2193.0,1
64.0,34.0,30853.0,1.4508141,2414.0,1
137.0,6.0,42483.0,1.0531743,2013.0,4
63.0,23.0,35884.0,1.2446765,2978.0,1
100.0,16.0,30676.0,1.4539255,1403.0,3
1.0,28.0,37647.0,1.1806803,573.0,4
13.0,25.0,30596.0,1.4516711,3083.0,1
64.0,21.0,41356.0,1.0729359,684.0,4
42.0,16.0,31553.0,1.403097,2129.0,1
110.0,24.0,36722.0,1.2042803,1294.0,4
190.0,18.0,30597.0,1.4448146,2894.0,1
61.0,22.0,30287.0,1.4593648,3236.0,1
34.0,44.0,30325.0,1.4529612,2710.0,1
3.0,25.0,30459.0,1.4455961,572.0,3
5.0,49.0,41182.0,1.0685356,820.0,4
17.0,24.0,31651.0,1.3828056,2615.0,1
162.0,25.0,30018.0,1.4565377,2285.0,1
18.0,15.0,29547.0,1.4792567,2942.0,1
7.0,18.0,34851.0,1.2532883,419.0,4
26.0,54.0,42857.0,1.0190818,3047.0,2
3.0,41.0,34397.0,1.2687795,1765.0,1
71.0,28.0,31760.0,1.3737409,1658.0,3
2.0,39.0,41912.0,1.0407447,2677.0,1
65.0,24.0,39750.0,1.0971527,3290.0,1
3.0,21.0,35233.0,1.2375582,384.0,4
13.0,21.0,33472.0,1.301734,627.0,4
2.0,24.0,30778.0,1.413423,465.0,3
19.0,36.0,32898.0,1.3209733,2039.0,1
11.0,27.0,35163.0,1.2354816,3385.0,1
16.0,19.0,31098.0,1.3907261,1609.0,3
104.0,27.0,29812.0,1.4458125,1662.0,3
95.0,11.0,38448.0,1.120954,650.0,4
126.0,16.0,32222.0,1.3373456,2081.0,1
35.0,34.0,32761.0,1.3147972,500.0,4
104.0,25.0,30544.0,1.4095865,497.0,3
17.0,28.0,39397.0,1.0872021,3198.0,1
6.0,21.0,30834.0,1.3885386,2564.0,1
13.0,33.0,36062.0,1.1853594,2108.0,1
12.0,39.0,38197.0,1.1182705,1704.0,4
8.0,44.0,36798.0,1.1579243,2606.0,1
4.0,30.0,38884.0,1.0944974,512.0,4
79.0,18.0,31797.0,1.3380275,2187.0,1
57.0,23.0,33833.0,1.2572607,1969.0,1
104.0,23.0,29023.0,1.4635633,2543.0,1
91.0,23.0,31518.0,1.3442864,417.0,3
19.0,24.0,33456.0,1.2640955,2897.0,1
19.0,50.0,36759.0,1.1504122,964.0,2
1.0,39.0,33360.0,1.267164,677.0,4
2.0,42.0,37652.0,1.1209192,649.0,4
84.0,24.0,36369.0,1.159408,2515.0,1
93.0,17.0,28793.0,1.4640601,760.0,3
203.0,16.0,29883.0,1.409735,1372.0,3
13.0,27.0,40276.0,1.0455849,3310.0,1
46.0,30.0,28492.0,1.4711761,2754.0,1
109.0,24.0,29018.0,1.4412106,983.0,3
54.0,16.0,31472.0,1.3275,1117.0,3
17.0,21.0,28764.0,1.4472117,2499.0,1
57.0,28.0,40971.0,1.0158856,2783.0,1
304.0,4.0,40376.0,1.03,404.0,4
13.0,20.0,38551.0,1.0786506,2085.0,1
33.0,26.0,29364.0,1.4150562,1561.0,3
27.0,35.0,33403.0,1.2408248,2388.0,1
42.0,20.0,34392.0,1.2045339,3327.0,1
4.0,28.0,36981.0,1.1200876,2064.0,1
11.0,19.0,32494.0,1.2702154,1431.0,4
123.0,15.0,29772.0,1.3798821,2250.0,1
31.0,18.0,39186.0,1.0472223,941.0,4
6.0,18.0,29350.0,1.3935438,1614.0,3
25.0,25.0,28743.0,1.4223081,705.0,3
119.0,20.0,28892.0,1.4130774,1336.0,3
9.0,15.0,28500.0,1.4311453,2097.0,1
45.0,20.0,27490.0,1.4819803,872.0,3
22.0,45.0,34494.0,1.1806024,2698.0,1
74.0,21.0,28933.0,1.4057097,1356.0,3
13.0,24.0,33723.0,1.2023622,2505.0,1
3.0,25.0,37879.0,1.070041,2895.0,1
232.0,16.0,27294.0,1.4812101,3245.0,1
11.0,18.0,31168.0,1.2948482,1564.0,1
5.0,24.0,28789.0,1.400132,3070.0,1
97.0,22.0,31651.0,1.2726082,2460.0,1
37.0,26.0,31616.0,1.270371,2247.0,1
98.0,14.0,32768.0,1.2255762,2020.0,1
256.0,13.0,26891.0,1.4934168,2291.0,3
8.0,17.0,29030.0,1.3829018,498.0,3
1.0,20.0,28380.0,1.4132749,3373.0,1
5.0,23.0,39297.0,1.020453,566.0,4
74.0,19.0,27104.0,1.479468,1857.0,3
46.0,19.0,28214.0,1.4211359,368.0,3
62.0,4.0,38663.0,1.0357548,3411.0,1
300.0,11.0,31537.0,1.2694381,1595.0,3
35.0,21.0,30737.0,1.2995439,979.0,4
16.0,13.0,28992.0,1.376649,1703.0,3
21.0,19.0,27258.0,1.4637431,3083.0,1
194.0,23.0,39731.0,1.0009745,1107.0,4
13.0,22.0,39310.0,1.0110227,820.0,4
94.0,21.0,29377.0,1.3523031,3136.0,1
86.0,15.0,27412.0,1.4484923,2563.0,1
110.0,22.0,34843.0,1.1362392,1801.0,4
8.0,22.0,36613.0,1.078831,600.0,4
40.0,16.0,29439.0,1.3407028,857.0,3
15.0,13.0,27190.0,1.4514582,1855.0,3
28.0,37.0,36123.0,1.092412,2861.0,1
10.0,24.0,38980.0,1.0121398,3043.0,1
49.0,13.0,36655.0,1.0723072,2716.0,1
123.0,17.0,29087.0,1.35059,861.0,3
16.0,25.0,37274.0,1.0524502,3267.0,1
85.0,17.0,28471.0,1.3761364,2537.0,1
15.0,25.0,26759.0,1.4607362,1557.0,3
32.0,35.0,38226.0,1.0206732,1498.0,4
20.0,27.0,33019.0,1.1787344,2671.0,1
643.0,4.0,38663.0,1.0061997,668.0,0
57.0,27.0,34942.0,1.1119353,929.0,4
6.0,26.0,36255.0,1.0693184,2240.0,1
2.0,22.0,26855.0,1.4428866,3205.0,1
23.0,15.0,36132.0,1.0706193,2054.0,1
44.0,26.0,34998.0,1.1047977,2957.0,1
83.0,20.0,34490.0,1.118027,662.0,4
224.0,3.0,36696.0,1.05,811.0,4
21.0,19.0,27333.0,1.409157,2932.0,1
61.0,14.0,30631.0,1.2573755,1697.0,1
47.0,16.0,26543.0,1.4504498,2239.0,1
8.0,26.0,34797.0,1.1059089,882.0,4
60.0,19.0,28465.0,1.3483878,1952.0,1
19.0,18.0,28144.0,1.3622357,2749.0,1
50.0,20.0,27216.0,1.4079938,2680.0,1
23.0,24.0,31678.0,1.207187,878.0,4
212.0,4.0,37460.0,1.0202104,1866.0,4
58.0,27.0,26258.0,1.4545125,2176.0,1
91.0,22.0,30866.0,1.2369766,2987.0,1
13.0,19.0,28293.0,1.3461337,1527.0,3
624.0,4.0,36880.0,1.0298504,1074.0,0
94.0,21.0,37823.0,1.003647,1544.0,4
13.0,17.0,26155.0,1.4503839,3216.0,1
109.0,16.0,30369.0,1.2483618,832.0,4
12.0,19.0,29091.0,1.3026204,2525.0,1
13.0,25.0,27134.0,1.3964207,2485.0,1
298.0,3.0,36696.0,1.03,1445.0,4
210.0,3.0,36696.0,1.03,787.0,4
23.0,3.0,36696.0,1.03,630.0,4
667.0,3.0,36696.0,1.03,1152.0,0
107.0,3.0,36696.0,1.03,1107.0,4
617.0,3.0,36696.0,1.03,698.0,0
174.0,21.0,28588.0,1.321868,1376.0,3
71.0,26.0,26411.0,1.4307077,1544.0,3
38.0,20.0,36794.0,1.0268115,1835.0,4
4.0,30.0,31206.0,1.2050705,898.0,4
80.0,20.0,26560.0,1.4154996,2587.0,1
395.0,9.0,37584.0,1.0,2540.0,0
30.0,29.0,36527.0,1.0285578,2781.0,1
2.0,22.0,25907.0,1.44837,3029.0,1
25.0,35.0,37238.0,1.0073473,2281.0,1
24.0,18.0,32881.0,1.1392536,2056.0,1
20.0,37.0,34154.0,1.0964209,654.0,4
2.0,35.0,34610.0,1.0817319,1806.0,4
9.0,15.0,28054.0,1.3344835,972.0,3
116.0,16.0,29318.0,1.2749635,618.0,4
15.0,38.0,33040.0,1.1293226,804.0,4
161.0,19.0,25926.0,1.4368113,1164.0,3
12.0,23.0,27622.0,1.347288,1435.0,3
158.0,17.0,27916.0,1.3327342,2321.0,1
130.0,15.0,26961.0,1.378786,1065.0,3
37.0,28.0,26239.0,1.4140272,1393.0,3
68.0,23.0,29494.0,1.2567133,2361.0,1
6.0,24.0,31035.0,1.1939752,1223.0,4
4.0,18.0,30662.0,1.2081896,2418.0,1
37.0,23.0,30341.0,1.2198718,3224.0,1
187.0,28.0,36723.0,1.0062282,766.0,4
318.0,21.0,30595.0,1.2056153,1915.0,1
9.0,23.0,28291.0,1.3037294,2055.0,1
35.0,17.0,27331.0,1.3463537,1630.0,3
50.0,21.0,33970.0,1.0824518,2471.0,1
78.0,19.0,26135.0,1.406225,2511.0,1
5.0,29.0,28264.0,1.2983364,3125.0,1
11.0,19.0,28080.0,1.3027632,2128.0,1
4.0,23.0,36382.0,1.0040466,1288.0,4
12.0,34.0,34214.0,1.0644122,2870.0,1
38.0,20.0,25654.0,1.4193245,1481.0,3
26.0,23.0,30491.0,1.1925867,1202.0,4
11.0,26.0,34136.0,1.0630789,1179.0,4
25.0,28.0,31416.0,1.1535801,999.0,4
5.0,17.0,26057.0,1.3876064,2570.0,1
34.0,21.0,25659.0,1.4062266,1195.0,3
65.0,27.0,34510.0,1.0454262,845.0,4
28.0,18.0,24625.0,1.4599322,3064.0,1
46.0,14.0,35734.0,1.0046384,823.0,4
35.0,22.0,27380.0,1.3105114,3148.0,1
4.0,21.0,29440.0,1.2180941,2922.0,1
4.0,24.0,34188.0,1.0475634,2321.0,1
4.0,15.0,24853.0,1.436532,1041.0,3
39.0,16.0,26510.0,1.346097,2581.0,1
39.0,13.0,34112.0,1.0458622,1704.0,4
178.0,29.0,27304.0,1.3062818,2024.0,1
69.0,15.0,25023.0,1.4234388,2374.0,1
5.0,17.0,28208.0,1.262254,2566.0,1
304.0,6.0,34483.0,1.0316002,1230.0,4
20.0,12.0,25022.0,1.4175086,2243.0,1
14.0,16.0,24433.0,1.4502317,2202.0,1
4.0,23.0,28340.0,1.2451264,2185.0,1
38.0,29.0,34423.0,1.0246437,1174.0,4
8.0,29.0,35027.0,1.0064633,1294.0,4
25.0,20.0,29253.0,1.2039764,1089.0,4
3.0,34.0,31722.0,1.11,3026.0,1
114.0,4.0,32508.0,1.0825,563.0,4
284.0,20.0,24452.0,1.4331654,2059.0,3
476.0,5.0,33350.0,1.05,2293.0,0
26.0,21.0,26406.0,1.3216958,1570.0,1
109.0,16.0,24715.0,1.4117281,2800.0,1
2.0,14.0,23838.0,1.4610962,2573.0,1
35.0,19.0,30371.0,1.143797,1095.0,4
244.0,17.0,29765.0,1.1664801,1489.0,4
25.0,21.0,24139.0,1.4374137,2282.0,1
8.0,14.0,24381.0,1.4223515,1124.0,3
154.0,17.0,31341.0,1.1043671,1403.0,4
157.0,4.0,30420.0,1.137551,1921.0,1
40.0,24.0,24938.0,1.3868618,931.0,3
11.0,21.0,33478.0,1.0314872,2138.0,1
60.0,17.0,28349.0,1.2180055,1627.0,4
13.0,12.0,33251.0,1.0379853,1013.0,4
3.0,45.0,32087.0,1.0749422,798.0,4
31.0,18.0,23688.0,1.4513602,1879.0,3
39.0,19.0,28894.0,1.188615,1316.0,4
13.0,29.0,26758.0,1.2812867,2434.0,1
4.0,24.0,24381.0,1.4059714,2495.0,1
4.0,14.0,26901.0,1.2699836,1763.0,1
24.0,19.0,27955.0,1.2181002,1658.0,4
17.0,11.0,27143.0,1.2537225,416.0,4
76.0,15.0,26433.0,1.2858707,2512.0,1
4.0,14.0,24134.0,1.4052287,391.0,3
2.0,17.0,26090.0,1.299166,2342.0,1
17.0,25.0,29472.0,1.1497017,1555.0,4
28.0,30.0,31524.0,1.0729514,2868.0,1
82.0,16.0,23301.0,1.4506991,824.0,3
44.0,16.0,23831.0,1.4181663,885.0,3
7.0,13.0,30175.0,1.118517,1447.0,4
1.0,29.0,28781.0,1.1716535,825.0,4
221.0,10.0,22591.0,1.492562,2112.0,3
73.0,14.0,24649.0,1.3675208,2718.0,1
3.0,26.0,26690.0,1.2620423,1840.0,1
83.0,13.0,24070.0,1.3980432,902.0,3
14.0,13.0,23166.0,1.448613,1654.0,3
179.0,25.0,30197.0,1.1103686,649.0,4
211.0,4.0,32508.0,1.03,2498.0,1
25.0,20.0,31176.0,1.0733074,3279.0,1
116.0,27.0,27331.0,1.2232217,2571.0,1
125.0,18.0,24786.0,1.347917,619.0,3
4.0,11.0,23814.0,1.4028395,2770.0,1
8.0,34.0,31947.0,1.0450093,2395.0,1
1.0,25.0,30259.0,1.1029046,1076.0,4
81.0,19.0,31585.0,1.0552405,837.0,4
6.0,22.0,23961.0,1.3862702,2395.0,1
12.0,22.0,26590.0,1.246616,2792.0,1
91.0,18.0,28491.0,1.1581682,2210.0,1
109.0,12.0,32298.0,1.0174428,684.0,4
36.0,23.0,26516.0,1.2387509,1564.0,4
6.0,20.0,28114.0,1.1676009,2732.0,1
32.0,20.0,22525.0,1.4546025,2957.0,1
20.0,15.0,27992.0,1.1700536,951.0,4
60.0,24.0,24896.0,1.314569,1950.0,1
69.0,14.0,23205.0,1.4059952,2088.0,1
17.0,24.0,22266.0,1.4646506,1241.0,3
4.0,13.0,23714.0,1.3737152,1405.0,3
128.0,14.0,26120.0,1.2444628,3095.0,1
12.0,15.0,22633.0,1.4360633,2132.0,1
159.0,20.0,25864.0,1.2554114,1363.0,4
120.0,21.0,22171.0,1.4622763,3183.0,1
41.0,18.0,24254.0,1.3287148,2003.0,1
48.0,20.0,28309.0,1.1355509,618.0,4
31.0,23.0,31333.0,1.0255768,2485.0,1
53.0,15.0,22503.0,1.4111456,1519.0,3
5.0,21.0,26350.0,1.2038608,1230.0,4
6.0,11.0,22144.0,1.4324675,456.0,3
34.0,29.0,30228.0,1.0458446,418.0,4
7.0,27.0,23980.0,1.3143758,1222.0,4
81.0,20.0,26829.0,1.1744355,465.0,4
2.0,27.0,28505.0,1.101626,2706.0,1
75.0,11.0,22940.0,1.3682942,2461.0,1
260.0,3.0,30408.0,1.03,754.0,4
6.0,17.0,23552.0,1.3296425,3412.0,1
7.0,18.0,30515.0,1.025417,2195.0,1
125.0,10.0,23869.0,1.3105254,568.0,3
660.0,11.0,22216.0,1.4076927,722.0,3
9.0,13.0,26682.0,1.1718566,2206.0,1
22.0,28.0,22351.0,1.3967478,597.0,3
97.0,29.0,30522.0,1.0207467,1247.0,4
8.0,27.0,27894.0,1.1162766,3149.0,1
104.0,16.0,25364.0,1.2262001,1949.0,1
1.0,19.0,21363.0,1.45421,3353.0,1
6.0,22.0,27740.0,1.119322,995.0,4
12.0,33.0,28581.0,1.0856552,2168.0,1
1.0,26.0,27880.0,1.1110499,2956.0,1
28.0,16.0,22990.0,1.3454219,1413.0,3
40.0,19.0,21476.0,1.4352105,1871.0,3
50.0,17.0,22042.0,1.3932129,2788.0,1
8.0,20.0,25851.0,1.1867588,3151.0,1
3.0,19.0,23235.0,1.3202286,645.0,4
45.0,12.0,22638.0,1.3537102,2526.0,1
44.0,33.0,24434.0,1.2483126,2411.0,1
6.0,9.0,28138.0,1.0827969,1116.0,4
26.0,27.0,23972.0,1.270564,1349.0,4
191.0,23.0,29931.0,1.0175353,715.0,4
13.0,19.0,28661.0,1.062548,692.0,4
2.0,21.0,21882.0,1.3908185,2707.0,1
114.0,17.0,26533.0,1.1469238,1609.0,4
71.0,12.0,24127.0,1.2601086,2564.0,1
337.0,18.0,21188.0,1.4340618,2744.0,1
119.0,13.0,23663.0,1.2807704,827.0,4
633.0,8.0,24303.0,1.246949,3250.0,1
33.0,14.0,28506.0,1.0596341,2867.0,1
1.0,31.0,28753.0,1.0479828,546.0,4
99.0,14.0,22949.0,1.3103716,3265.0,1
89.0,7.0,28827.0,1.0423988,1440.0,4
77.0,13.0,20915.0,1.4349873,716.0,3
236.0,15.0,24581.0,1.2205317,700.0,4
160.0,16.0,21950.0,1.3650761,2478.0,1
141.0,19.0,22209.0,1.3470147,2892.0,1
162.0,18.0,28641.0,1.043908,2103.0,1
61.0,10.0,28420.0,1.051,1072.0,4
20.0,19.0,21566.0,1.3825963,1829.0,1
29.0,24.0,28110.0,1.0595716,2043.0,1
188.0,23.0,28653.0,1.0394182,1514.0,4
10.0,23.0,22748.0,1.3072275,3187.0,1
12.0,17.0,28297.0,1.0487069,875.0,4
4.0,40.0,28968.0,1.0238118,566.0,4
575.0,16.0,19804.0,1.4953545,1133.0,3
5.0,17.0,23731.0,1.2474978,546.0,4
11.0,22.0,27650.0,1.0705088,476.0,4
30.0,13.0,23375.0,1.2652795,1456.0,4
7.0,17.0,21157.0,1.3970454,464.0,3
66.0,13.0,20513.0,1.4388081,2869.0,1
5.0,24.0,21909.0,1.3466452,1192.0,3
4.0,21.0,26648.0,1.1047947,2506.0,1
7.0,23.0,27143.0,1.083308,2863.0,1
149.0,12.0,28613.0,1.0239317,2565.0,1
104.0,18.0,21907.0,1.337147,3185.0,1
10.0,21.0,20762.0,1.408441,2790.0,1
4.0,15.0,23268.0,1.2567092,2227.0,1
23.0,20.0,20801.0,1.4033042,465.0,3
396.0,3.0,28315.0,1.03,1457.0,0
38.0,9.0,27405.0,1.0637785,391.0,4
77.0,12.0,22267.0,1.3086711,1287.0,3
390.0,9.0,21433.0,1.3591938,514.0,3
23.0,18.0,20626.0,1.4116343,2066.0,1
375.0,29.0,29086.0,1.0,1110.0,4
20.0,22.0,22631.0,1.2827171,3184.0,1
4.0,21.0,24692.0,1.174184,2142.0,1
74.0,11.0,21627.0,1.3393656,924.0,3
4.0,23.0,26338.0,1.0992657,2285.0,1
521.0,13.0,19422.0,1.4903975,2278.0,3
91.0,11.0,21051.0,1.372617,510.0,3
128.0,12.0,23578.0,1.2252786,1158.0,4
178.0,16.0,20636.0,1.3986906,1377.0,3
117.0,10.0,20192.0,1.427811,669.0,3
50.0,19.0,20225.0,1.424676,692.0,3
150.0,8.0,27407.0,1.0510267,3001.0,1
3.0,23.0,19929.0,1.4403408,737.0,3
13.0,20.0,28369.0,1.0117776,3034.0,1
38.0,16.0,21895.0,1.3098465,2079.0,1
10.0,17.0,20376.0,1.4046981,2817.0,1
17.0,13.0,21044.0,1.3596641,3254.0,1
170.0,15.0,23683.0,1.2073627,1095.0,4
377.0,16.0,27245.0,1.0434575,2417.0,0
3.0,7.0,23535.0,1.2059464,1854.0,1
10.0,22.0,27434.0,1.0338106,2748.0,1
15.0,17.0,21499.0,1.3190715,2534.0,1
116.0,17.0,26613.0,1.0637004,1185.0,4
384.0,7.0,20670.0,1.3693807,1909.0,3
99.0,14.0,23836.0,1.1845104,3169.0,1
117.0,14.0,21081.0,1.3381884,3093.0,1
105.0,17.0,23610.0,1.1941783,1290.0,4
127.0,29.0,27094.0,1.0394402,970.0,4
17.0,14.0,28062.0,1.0021734,2826.0,1
12.0,11.0,20127.0,1.3965822,681.0,3
23.0,11.0,24653.0,1.1370775,2455.0,1
348.0,11.0,20485.0,1.3675177,1118.0,3
14.0,26.0,24555.0,1.1402407,953.0,4
12.0,19.0,26705.0,1.0458925,1879.0,4
39.0,33.0,25328.0,1.1006049,832.0,4
17.0,16.0,20114.0,1.3856583,808.0,3
26.0,13.0,24296.0,1.1459755,567.0,4
85.0,10.0,19780.0,1.4050277,878.0,3
97.0,10.0,25617.0,1.0847039,1229.0,4
135.0,8.0,27266.0,1.0166845,1015.0,4
76.0,6.0,27006.0,1.0250448,2949.0,1
95.0,14.0,21412.0,1.292246,3288.0,1
44.0,16.0,20610.0,1.3398011,3316.0,1
9.0,21.0,22479.0,1.2273077,835.0,4
9.0,11.0,20541.0,1.3422506,2376.0,1
60.0,15.0,19985.0,1.3788906,758.0,3
2.0,18.0,18968.0,1.4525543,606.0,3
39.0,13.0,21075.0,1.3068275,2922.0,1
67.0,3.0,26431.0,1.0418137,1050.0,4
85.0,14.0,23768.0,1.1580957,3119.0,1
52.0,10.0,19183.0,1.4346937,2128.0,1
306.0,8.0,21144.0,1.3,1176.0,3
132.0,18.0,25995.0,1.0572625,3027.0,1
113.0,14.0,19763.0,1.3898543,2980.0,1
28.0,8.0,27427.0,1.0003514,820.0,4
73.0,9.0,22177.0,1.2336849,836.0,4
124.0,22.0,26674.0,1.0252388,3190.0,1
34.0,9.0,23838.0,1.1445688,994.0,4
24.0,4.0,25778.0,1.05,2863.0,1
74.0,10.0,19316.0,1.4003261,1996.0,3
371.0,11.0,20440.0,1.3230773,3254.0,1
28.0,17.0,21662.0,1.2471471,662.0,4
74.0,15.0,18189.0,1.4844978,1463.0,3
4.0,18.0,25052.0,1.0767767,2792.0,1
263.0,11.0,20639.0,1.3066409,2245.0,1
30.0,14.0,20025.0,1.3432809,2036.0,1
220.0,3.0,25750.0,1.0435076,429.0,4
307.0,5.0,26677.0,1.0041804,1191.0,0
19.0,18.0,19507.0,1.3728826,413.0,3
558.0,12.0,21987.0,1.2164074,2326.0,0
308.0,10.0,17815.0,1.5,867.0,3
32.0,21.0,18726.0,1.4251528,3064.0,1
3.0,29.0,18821.0,1.4175862,2047.0,1
222.0,9.0,17992.0,1.4827273,1052.0,3
7.0,14.0,18861.0,1.4139935,2694.0,1
128.0,16.0,21008.0,1.2674652,1666.0,1
109.0,18.0,22607.0,1.1734344,1727.0,4
2.0,18.0,24435.0,1.0855118,3086.0,1
77.0,18.0,21130.0,1.253593,3197.0,1
71.0,14.0,18317.0,1.444373,653.0,3
61.0,9.0,18891.0,1.3919247,1150.0,3
35.0,13.0,19480.0,1.348632,537.0,3
15.0,17.0,20153.0,1.3028184,2216.0,1
31.0,10.0,18133.0,1.4465499,516.0,3
4.0,18.0,21700.0,1.2078853,1342.0,4
3.0,12.0,19358.0,1.3508074,2173.0,1
113.0,19.0,20497.0,1.2750329,1720.0,1
654.0,3.0,25131.0,1.0380566,1457.0,0
280.0,10.0,17789.0,1.4641441,809.0,3
25.0,17.0,18964.0,1.3731375,1898.0,1
83.0,3.0,24844.0,1.0472468,1297.0,4
304.0,8.0,21948.0,1.1839448,1050.0,4
49.0,8.0,19802.0,1.310851,522.0,4
78.0,9.0,17990.0,1.4376553,2905.0,1
154.0,12.0,21494.0,1.2026505,767.0,4
117.0,3.0,25754.0,1.0029517,1091.0,4
37.0,15.0,17716.0,1.4575096,1095.0,3
88.0,6.0,17847.0,1.4427333,557.0,3
250.0,15.0,24199.0,1.055023,1858.0,4
106.0,15.0,20945.0,1.2180821,539.0,4
228.0,11.0,21540.0,1.1842618,2037.0,1
3.0,7.0,18062.0,1.41,2547.0,1
16.0,15.0,22084.0,1.1532018,2642.0,1
26.0,20.0,17409.0,1.4616233,719.0,3
25.0,15.0,21002.0,1.2114208,3313.0,1
79.0,16.0,21634.0,1.174155,2943.0,1
125.0,21.0,21210.0,1.1961905,454.0,4
110.0,27.0,17523.0,1.4466667,1663.0,3
85.0,10.0,20112.0,1.2599354,1871.0,1
51.0,8.0,17412.0,1.455,1256.0,3
12.0,14.0,23317.0,1.0848047,2276.0,1
119.0,7.0,21279.0,1.1881268,607.0,4
77.0,13.0,22249.0,1.1360838,2595.0,1
2.0,23.0,18337.0,1.376188,609.0,3
35.0,9.0,18580.0,1.3581055,1884.0,1
94.0,14.0,19412.0,1.2984813,2724.0,1
603.0,2.0,24464.0,1.03,2783.0,0
603.0,2.0,24464.0,1.03,629.0,0
455.0,2.0,24464.0,1.03,530.0,0
223.0,2.0,24464.0,1.03,1382.0,4
667.0,2.0,24464.0,1.03,1429.0,0
395.0,2.0,24464.0,1.03,555.0,0
468.0,2.0,24464.0,1.03,533.0,0
482.0,2.0,24464.0,1.03,490.0,0
81.0,2.0,24464.0,1.03,1928.0,4
5.0,16.0,22441.0,1.1215779,454.0,4
303.0,13.0,21402.0,1.1747888,2816.0,1
49.0,18.0,20081.0,1.2520531,790.0,4
207.0,11.0,17519.0,1.4350744,1813.0,3
21.0,26.0,22158.0,1.1338528,1038.0,4
68.0,22.0,23795.0,1.0541378,1047.0,4
61.0,15.0,24616.0,1.0169674,3342.0,1
61.0,18.0,17899.0,1.398396,509.0,3
10.0,17.0,21669.0,1.1531589,1541.0,4
13.0,9.0,18290.0,1.3659048,3136.0,1
269.0,9.0,16952.0,1.4733111,2922.0,1
97.0,18.0,24446.0,1.0210775,735.0,4
29.0,21.0,24179.0,1.031883,2366.0,1
6.0,59.0,22420.0,1.1120338,608.0,4
91.0,13.0,21897.0,1.1381111,2434.0,1
37.0,17.0,21842.0,1.1393356,2687.0,1
74.0,11.0,17106.0,1.452599,2342.0,1
208.0,11.0,18449.0,1.346215,1233.0,3
